principal component 1,principal component 2,principal component 3,principal component 4,category_CYT,category_ERL,category_EXC,category_ME1,category_ME2,category_ME3,category_MIT,category_NUC,category_POX,category_VAC
0.5491861340783475,0.26566813651471094,0.2989416180732898,0.09771071184991471,0,0,0,0,0,0,1,0,0,0
0.5427737551382665,0.2603914987191209,0.28907727529924127,0.09305796570012306,0,0,0,0,0,0,1,0,0,0
0.5939417220991542,0.2433174451361605,0.30036026260478776,0.10403140294733372,0,0,0,0,0,0,1,0,0,0
0.42909862016146544,0.25198923410796353,0.3026512887249374,0.13107425520917976,0,0,0,0,0,0,0,1,0,0
0.4343995175252023,0.37390170638858633,0.2566022595271921,0.08377966636584244,0,0,0,0,0,0,1,0,0,0
0.3733445843289878,0.30105152533883855,0.714439642116931,0.2920060694855221,1,0,0,0,0,0,0,0,0,0
0.561446691642661,0.37396897627880143,0.24772552742525733,0.07721732365837577,0,0,0,0,0,0,1,0,0,0
0.38143410447615034,0.2035380467171966,0.27022286797785733,0.12291095658621001,0,0,0,0,0,0,0,1,0,0
0.42624668503155516,0.39631558928722477,0.2674095374370077,0.13449759247133353,0,0,0,0,0,0,1,0,0,0
0.30378132672867736,0.19761749275603613,0.28643257162460795,0.13374690623421093,1,0,0,0,0,0,0,0,0,0
0.34290152384601935,0.24370777500575116,0.28415756033807443,0.11614069730901591,0,0,0,0,0,0,0,1,0,0
0.2965994789719868,0.26157690040602394,0.27745276255632284,0.12674561160118547,0,0,0,0,0,0,0,1,0,0
0.3559788624375018,0.3017735728578517,0.27204838056285613,0.11626991054031686,1,0,0,0,0,0,0,0,0,0
0.4853358378666765,0.33769234518583313,0.2675461419839698,0.10222982832548883,0,0,0,0,0,0,1,0,0,0
0.5660013533899226,0.2960197719348805,0.2909644870714552,0.09083412245313792,0,0,0,0,0,0,1,0,0,0
0.37754364223269576,0.2498940603624203,0.30414799630407985,0.11785406094161958,1,0,0,0,0,0,0,0,0,0
0.3312370874730301,0.1937426098643122,0.2611584555110369,0.09793899574845151,1,0,0,0,0,0,0,0,0,0
0.44010231588541854,0.24709482918956127,0.2931046053744131,0.11854831989722123,0,0,0,0,0,0,0,1,0,0
0.3396091632447023,0.2998472660828767,0.29137713160307877,0.12258421776926665,0,0,0,0,0,0,0,1,0,0
0.5359755319273236,0.29764557248616164,0.28112968152257406,0.11104099774457621,0,0,0,0,0,0,0,1,0,0
0.36691136026554605,0.2547481783036852,0.3000737297207882,0.11187931949045965,1,0,0,0,0,0,0,0,0,0
0.4007206644875906,0.2557867952351223,0.2951343558297299,0.10301435964942808,1,0,0,0,0,0,0,0,0,0
0.6840564765076714,0.29914793145025875,0.28167523661611854,0.07673395788759049,1,0,0,0,0,0,0,0,0,0
0.43227593746959553,0.21499931434573794,0.30647944544081185,0.11642652797179935,1,0,0,0,0,0,0,0,0,0
0.45946119079451747,0.19851335137251955,0.30711951756681494,0.11717205397438772,1,0,0,0,0,0,0,0,0,0
0.5138187565372805,0.34052808771312587,0.2627178675630616,0.09596536033927346,0,0,0,0,0,0,1,0,0,0
0.47448494433211114,0.19812190703010546,0.29084368104448044,0.11646591574976345,1,0,0,0,0,0,0,0,0,0
0.42540555983458284,0.3034537469097648,0.2923407149369247,0.13250143942881232,1,0,0,0,0,0,0,0,0,0
0.5818109615370205,0.3354026246313965,0.28205744826820583,0.1137146593113858,0,0,0,0,0,0,1,0,0,0
0.9023435004258337,0.2221286811979866,0.2517761599908177,0.04277236583634747,0,0,0,1,0,0,0,0,0,0
0.5122812683485407,0.13036368006255972,0.29081632979513944,0.0886911972769524,0,0,0,0,0,0,0,1,0,0
0.6018545079671576,0.4268028304522864,0.2248014040019192,0.05398379408434556,0,0,0,0,0,0,1,0,0,0
